"","htgrk","htypek","gtypek","grunntype","adb_id"
215,"T","T01","T01-C-05","T1-C-5 - lite uttørkingseksponerte sterkt og litt kalkrike intermediære nakne berg","NA T1-C-5"
216,"T","T01","T01-C-06","T1-C-6 - uttørkingseksponerte sterkt intermediære og litt kalkrike berg, bergvegger og knauser","NA T1-C-6"
217,"T","T01","T01-C-07","T1-C-7 - lite uttørkingseksponerte temmelig til ekstremt kalkrike nakne berg","NA T1-C-7"
218,"T","T01","T01-C-08","T1-C-8 - uttørkingseksponerte temmelig til ekstremt kalkrike berg, bergvegger og knauser","NA T1-C-8"
219,"T","T01","T01-C-09","T1-C-9 - svakt intermediært og kalkfattig forblåst berg","NA T1-C-9"
220,"T","T01","T01-C-10","T1-C-10 - sterkt intermediært til ekstremt kalkrikt forblåst berg","NA T1-C-10"
221,"T","T01","T01-C-11","T1-C-11 - svakt intermediært og kalkfattig snøleieberg","NA T1-C-11"
222,"T","T01","T01-C-12","T1-C-12 - sterkt intermediært til ekstremt kalkrikt snøleieberg","NA T1-C-12"
223,"T","T02","T02-C-01","T2-C-1 - åpen kalkfattig grunnlendt lyngmark","NA T2-C-1"
224,"T","T02","T02-C-02","T2-C-2 - åpen kalkfattig grunnlendt lavmark","NA T2-C-2"
225,"T","T02","T02-C-03","T2-C-3 - åpen intermediær grunnlendt lyngmark","NA T2-C-3"
226,"T","T02","T02-C-04","T2-C-4 - åpen intermediær grunnlendt lavmark","NA T2-C-4"
227,"T","T02","T02-C-05","T2-C-5 - åpen svakt kalkrik grunnlendt lyngmark","NA T2-C-5"
228,"T","T02","T02-C-06","T2-C-6 - åpen svakt kalkrik grunnlendt lavmark","NA T2-C-6"
229,"T","T02","T02-C-07","T2-C-7 - åpen sterkt kalkrik grunnlendt lyngmark","NA T2-C-7"
230,"T","T02","T02-C-08","T2-C-8 - åpen sterkt kalkrik grunnlendt lavmark","NA T2-C-8"
231,"T","T03","T03-C-01","T3-C-1 - kalkfattig leside","NA T3-C-1"
232,"T","T03","T03-C-02","T3-C-2 - kalkfattig fjell-lynghei","NA T3-C-2"
233,"T","T03","T03-C-03","T3-C-3 - kalkfattig fjell-lavhei","NA T3-C-3"
234,"T","T03","T03-C-04","T3-C-4 - intermediær leside","NA T3-C-4"
235,"T","T03","T03-C-05","T3-C-5 - intermediær fjell-lynghei","NA T3-C-5"
